project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,coin_fail_accuracy,accuracy_improvement,f1_improvement,fail_accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
JSON-java,14,1,12,1,0,0.1429,1.0,0.08,0.1429,0.0769,1.0,0.9286,0.0714,0.9683,0.9839,0.01,-0.8254,-0.841,0.99,0.08,0.18,0.09
joda-time,51,19,2,7,23,0.5098,0.45,0.9,0.6032,0.9048,0.2333,0.4118,0.5882,0.8797,0.9357,0.0751,-0.3699,-0.3325,0.1582,0.04,0.18,0.06
commons-lang3-3.12.0-src,97,56,0,8,33,0.6598,0.63,1.0,0.7724,1.0,0.1951,0.5773,0.4227,0.7925,0.8823,0.1292,-0.1327,-0.1099,0.0659,0.04,0.17,0.04
jsoup,37,18,1,2,16,0.5405,0.53,0.95,0.6792,0.9474,0.1111,0.5135,0.4865,0.8804,0.9361,0.0734,-0.3399,-0.2569,0.0377,0.06,0.15,0.08
commons-numbers-1.0-src,47,36,0,0,11,0.766,0.77,1.0,0.8675,1.0,0.0,0.766,0.234,0.9871,0.9935,0.008,-0.2211,-0.126,-0.008,0.07,0.17,0.08
commons-jcs3-3.1-src,4,3,0,0,1,0.75,0.75,1.0,0.8571,1.0,0.0,0.75,0.25,0.7645,0.8638,0.1275,-0.0145,-0.0067,-0.1275,0.09,0.17,0.1
commons-jexl3-3.2.1-src,11,11,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6397,0.7645,0.2313,0.3603,0.2355,-0.2313,0.06,0.18,0.08
commons-rng-1.4-src,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.619,0.7413,0.2774,0.381,0.2587,-0.2774,0.11,0.09,0.1
all,263,146,15,18,84,0.6236,0.63,0.91,0.7468,0.9068,0.1765,0.6122,0.3878,0.8367,0.9103,0.0894,-0.2131,-0.1635,0.0871,0.05,0.17,0.06
